label,level_1,level_2,level_3,level_4
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/alaskax-understanding-and-operationalizing-one-health,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/alaskax-unmanned-aerial-systems,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/anahuacx-blockchain-fundamentos-y-aplicaciones-para-la-optimizacion-de-negocios,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/anahuacx-comunicacion-estrategica-para-negocios-digitales,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/anahuacx-creacion-de-ambientes-laborales-positivos,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/anahuacx-devops-foundations,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/anahuacx-docencia-digital,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/anahuacx-e-leadership-liderazgo-en-la-era-virtual,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/anahuacx-fundamentos-de-ciberseguridad,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/anahuacx-fundamentos-de-ciencia-de-datos-con-r,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/anahuacx-fundamentos-de-derecho-comercial-internacional,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/anahuacx-green-marketing-y-marketing-experiencial,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/anahuacx-ingles-basico-para-negocios,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/anahuacx-innova-y-emprende-con-design-thinking-y-lean-startup,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/anahuacx-inteligencia-artificial-aplicada-a-los-negocios,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/anahuacx-inteligencia-artificial-y-robotica,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/anahuacx-inteligencia-emocional-y-liderazgo,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/anahuacx-marketing-de-servicios,
Certificates,https://odyssey.stage.edx.org/certificates,https://odyssey.stage.edx.org/certificates/professional-certificate,https://odyssey.stage.edx.org/certificates/professional-certificate/anahuacx-marketing-digital-y-estrategias-digitales-empresariales,
